|  ion |        wave | NIST | amplitude | Instr |          Source |
| ThII | 3947.265269 |    1 |     20099 |    32 | Louis_Pepe_2007 |
|  ThI | 3947.508896 |    1 |     54854 |    32 | Louis_Pepe_2007 |
|  ThI | 3947.599393 |    1 |     10746 |    32 | Louis_Pepe_2007 |
|  ThI | 3948.447816 |    1 |     42687 |    32 | Louis_Pepe_2007 |
|  ArI | 3948.621868 |    1 |     92509 |    32 | Louis_Pepe_2007 |
|  ThI |  3949.14786 |    1 |    323650 |    32 | Louis_Pepe_2007 |
|  ThI | 3949.251817 |    1 |     30187 |    32 | Louis_Pepe_2007 |
|  ThI | 3951.513412 |    1 |    591464 |    32 | Louis_Pepe_2007 |
|  ThI | 3951.923063 |    1 |     12853 |    32 | Louis_Pepe_2007 |
| ThII | 3952.225649 |    1 |      1536 |    32 | Louis_Pepe_2007 |
|  ThI | 3955.188955 |    1 |      3184 |    32 | Louis_Pepe_2007 |
|  ThI | 3955.248854 |    1 |      2474 |    32 | Louis_Pepe_2007 |
|  ThI | 3956.288931 |    1 |     24868 |    32 | Louis_Pepe_2007 |
| ThII | 3956.375218 |    1 |       688 |    32 | Louis_Pepe_2007 |
|  ThI | 3957.010288 |    1 |     28610 |    32 | Louis_Pepe_2007 |
|  ThI | 3957.124202 |    1 |      7398 |    32 | Louis_Pepe_2007 |
| ThII | 3957.712496 |    1 |      9848 |    32 | Louis_Pepe_2007 |
| ThII | 3957.809861 |    1 |     34718 |    32 | Louis_Pepe_2007 |
| ThII | 3958.177025 |    1 |      1193 |    32 | Louis_Pepe_2007 |
| ThII |   3958.2748 |    1 |      1156 |    32 | Louis_Pepe_2007 |
| ArII | 3959.499705 |    1 |      4604 |    32 | Louis_Pepe_2007 |
|  ThI | 3960.047561 |    1 |      2822 |    32 | Louis_Pepe_2007 |
| ThII | 3960.341723 |    1 |      1170 |    32 | Louis_Pepe_2007 |
|  ThI |  3960.42028 |    1 |     60642 |    32 | Louis_Pepe_2007 |
|  ThI | 3961.389115 |    1 |      7023 |    32 | Louis_Pepe_2007 |
|  ThI | 3963.540591 |    1 |     21014 |    32 | Louis_Pepe_2007 |
| ThII | 3964.341753 |    1 |      1801 |    32 | Louis_Pepe_2007 |
|  ThI | 3965.151541 |    1 |     11975 |    32 | Louis_Pepe_2007 |
| ThII | 3965.988525 |    1 |      1721 |    32 | Louis_Pepe_2007 |
|  ThI | 3968.514563 |    1 |    353187 |    32 | Louis_Pepe_2007 |
| ArII | 3969.482162 |    1 |     64744 |    32 | Louis_Pepe_2007 |
| ThII | 3970.125193 |    1 |     19865 |    32 | Louis_Pepe_2007 |
|  ThI | 3970.788258 |    1 |     10606 |    32 | Louis_Pepe_2007 |
|  ThI | 3973.763121 |    1 |     35548 |    32 | Louis_Pepe_2007 |
|  ThI | 3974.320835 |    1 |     79929 |    32 | Louis_Pepe_2007 |
|  ThI | 3974.456634 |    1 |     16539 |    32 | Louis_Pepe_2007 |
| ThII | 3975.348991 |    1 |      1240 |    32 | Louis_Pepe_2007 |
| ArII | 3975.600867 |    1 |     87505 |    32 | Louis_Pepe_2007 |
| ArII | 3975.882876 |    1 |     19401 |    32 | Louis_Pepe_2007 |
| ThII | 3976.344763 |    1 |      1961 |    32 | Louis_Pepe_2007 |
|  ThI | 3976.959361 |    1 |      3515 |    32 | Louis_Pepe_2007 |
| ThII | 3977.539585 |    1 |      7189 |    32 | Louis_Pepe_2007 |
| ThII | 3980.166308 |    1 |      2589 |    32 | Louis_Pepe_2007 |
| ArII | 3980.481353 |    1 |    102970 |    32 | Louis_Pepe_2007 |
|  ArI | 3980.841667 |    1 |      5831 |    32 | Louis_Pepe_2007 |
|  ThI | 3981.082152 |    1 |      6946 |    32 | Louis_Pepe_2007 |
| ThII | 3981.880456 |    1 |      5903 |    32 | Louis_Pepe_2007 |
| ThII | 3982.232469 |    1 |      8672 |    32 | Louis_Pepe_2007 |
|  ThI | 3982.954417 |    1 |     10554 |    32 | Louis_Pepe_2007 |
| ThII | 3983.228953 |    1 |      8083 |    32 | Louis_Pepe_2007 |
|  ThI | 3983.732871 |    1 |      1887 |    32 | Louis_Pepe_2007 |
|  ThI | 3984.021561 |    1 |      5725 |    32 | Louis_Pepe_2007 |
|  ThI | 3985.221639 |    1 |      4880 |    32 | Louis_Pepe_2007 |
| ThII | 3985.501185 |    1 |       959 |    32 | Louis_Pepe_2007 |
|  ThI | 3986.006467 |    1 |     14718 |    32 | Louis_Pepe_2007 |
| ThII | 3986.537598 |    1 |      1360 |    32 | Louis_Pepe_2007 |
| ThII | 3988.833304 |    1 |      1606 |    32 | Louis_Pepe_2007 |
|  ThI | 3988.995046 |    1 |      2870 |    32 | Louis_Pepe_2007 |
| ArII | 3989.285697 |    1 |      8045 |    32 | Louis_Pepe_2007 |
| ThII |  3989.72807 |    1 |      8996 |    32 | Louis_Pepe_2007 |
| ThII | 3989.973197 |    1 |      5134 |    32 | Louis_Pepe_2007 |
|  ThI | 3991.620924 |    1 |     74179 |    32 | Louis_Pepe_2007 |
|  ThI | 3992.021496 |    1 |     10855 |    32 | Louis_Pepe_2007 |
