|  ion |       wave | NIST | Instr | amplitude |     Source |
| Ne I | 16273.4004 |  1.0 |   0.0 |       250 |       NIST |
| Kr I |  16319.715 |  1.0 |   0.0 |      1700 |       NIST |
| Kr I | 16351.3887 |  1.0 |   0.0 |       850 |       NIST |
| Ne I | 16409.7373 |  1.0 |   0.0 |      1000 |       NIST |
| Ar I |   16441.07 |  1.0 |   0.0 |      2650 |       NIST |
| Kr I |   16470.37 |  1.0 |   0.0 |      2100 |       NIST |
| Ne I | 16479.2536 |  1.0 |   0.0 |      1000 |       NIST |
| Ar I |   16524.37 |  1.0 |   0.0 |     15300 |       NIST |
| Ar I |   16553.83 |  1.0 |   0.0 |      1900 |       NIST |
| Ar I |   16554.92 |  1.0 |   0.0 |       500 |       NIST |
| Xe I |    16559.0 |  1.0 |   0.0 |      1200 |       NIST |
| Kr I |    16567.4 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |   16577.58 |  1.0 |   0.0 |      2650 |       NIST |
| Ne I | 16596.0411 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I |  16611.556 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I | 16613.9757 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I | 16638.5935 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I |  16671.664 |  1.0 |   0.0 |      1000 |       NIST |
| Kr I |    16731.1 |  1.0 |   0.0 |      9900 |       NIST |
| Xe I |  16732.727 |  1.0 |   0.0 |     19600 |       NIST |
| Ar I |   16744.65 |  1.0 |   0.0 |      2200 |       NIST |
| Xe I |  16750.295 |  1.0 |   0.0 |       250 |       NIST |
| Kr I | 16789.7178 |  1.0 |   0.0 |    230000 |       NIST |
| Kr I | 16858.1016 |  1.0 |   0.0 |     73000 |       NIST |
| Xe I |   16887.69 |  1.0 |   0.0 |       600 |       NIST |
| Kr I |   16999.13 |  1.0 |   0.0 |      1620 |       NIST |
| Kr I |   17074.69 |  1.0 |   0.0 |      1270 |       NIST |
| Kr I | 17103.4495 |  1.0 |   0.0 |     18000 |       NIST |
| Ne I | 17166.6222 |  1.0 |   0.0 |      1350 |       NIST |
| Kr I |   17235.43 |  1.0 |   0.0 |      1100 |       NIST |
| Xe I |   17330.53 |  1.0 |   0.0 |     13900 |       NIST |
| Kr I | 17372.3574 |  1.0 |   0.0 |     28600 |       NIST |
| Ar I |   17406.66 |  1.0 |   0.0 |       240 | U Kentucky |
| Kr I |   17409.19 |  1.0 |   0.0 |      4950 |       NIST |
| Ar I |   17449.67 |  1.0 |   0.0 |      4000 | U Kentucky |
| Xe I |  17487.746 |  1.0 |   0.0 |       320 |       NIST |
| Kr I |   17621.65 |  1.0 |   0.0 |      3900 |       NIST |
| Kr I |   17635.36 |  1.0 |   0.0 |       650 |       NIST |
| Kr I |   17775.57 |  1.0 |   0.0 |       600 |       NIST |
| Ar I |   17828.86 |  1.0 |   0.0 |       530 |       NIST |
| Kr I |  17847.617 |  1.0 |   0.0 |      9500 |       NIST |
| Ar I |    17920.9 |  1.0 |   0.0 |      7550 | U Kentucky |
| Kr I | 18007.1461 |  1.0 |   0.0 |      1000 |       NIST |
| Ne I |  18088.201 |  1.0 |   0.0 |       500 |       NIST |
| Kr I |   18104.38 |  1.0 |   0.0 |       250 |       NIST |
| Kr I | 18172.2883 |  1.0 |   0.0 |     70000 |       NIST |
| Ne I | 18281.6322 |  1.0 |   0.0 |      7250 |       NIST |
| Ne I | 18287.6064 |  1.0 |   0.0 |      5850 |       NIST |
| Ne I | 18308.9656 |  1.0 |   0.0 |      4660 |       NIST |
| Ne I | 18364.1077 |  1.0 |   0.0 |      1390 |       NIST |
| Ne I |  18376.458 |  1.0 |   0.0 |      7420 |       NIST |
| Ne I |   18389.86 |  1.0 |   0.0 |      4730 |       NIST |
| Ne I | 18394.9582 |  1.0 |   0.0 |      6870 |       NIST |
| Ne I | 18407.8607 |  1.0 |   0.0 |      3350 |       NIST |
| Ne I |  18427.432 |  1.0 |   0.0 |      6550 |       NIST |
| Ne I | 18463.6807 |  1.0 |   0.0 |      2800 |       NIST |
| Ne I | 18480.8447 |  1.0 |   0.0 |      8100 |       NIST |
| Kr I |   18585.96 |  1.0 |   0.0 |     15300 |       NIST |
| Ne I |  18596.617 |  1.0 |   0.0 |     21200 |       NIST |
| Ne I |  18602.776 |  1.0 |   0.0 |     29500 |       NIST |
| Ne I |  18687.339 |  1.0 |   0.0 |       400 |       NIST |
| Kr I |  18701.411 |  1.0 |   0.0 |     30800 |       NIST |
| Kr I |   18790.61 |  1.0 |   0.0 |      8050 |       NIST |
| Kr I |   18792.86 |  1.0 |   0.0 |      8600 |       NIST |
| Kr I |   18802.84 |  1.0 |   0.0 |     12500 |       NIST |
| Ne I |  18942.723 |  1.0 |   0.0 |       320 |       NIST |
| Ne I |  19579.094 |  1.0 |   0.0 |      1130 |       NIST |
| Ne I |  19582.455 |  1.0 |   0.0 |      3330 |       NIST |
| Ne I |   19777.86 |  1.0 |   0.0 |       200 |       NIST |
| Ar I |   19822.92 |  1.0 |   0.0 |      3550 | U Kentucky |
| Ar I |    19950.9 |  1.0 |   0.0 |      1000 | U Kentucky |
| Ar I |   19971.18 |  1.0 |   0.0 |      7900 | ISAAC List |
| Ar I |   20031.14 |  1.0 |   0.0 |       990 | U Kentucky |
| Ar I |   20035.57 |  1.0 |   0.0 |       570 | ISAAC List |
| Ar I |   20074.41 |  1.0 |   0.0 |       570 | ISAAC List |
| Xe I |  20192.711 |  1.0 |   0.0 |      2500 |       NIST |
| Kr I |   20215.41 |  1.0 |   0.0 |      9600 |       NIST |
| Xe I |  20267.774 |  1.0 |   0.0 |     56600 |       NIST |
| Xe I |  20287.972 |  1.0 |   0.0 |       390 |       NIST |
| Ar I |   20322.56 |  1.0 |   0.0 |      1800 | ISAAC List |
| Ne I |  20355.771 |  1.0 |   0.0 |      1720 |       NIST |
| Ne I |  20359.404 |  1.0 |   0.0 |       360 |       NIST |
| Kr I |   20429.57 |  1.0 |   0.0 |     16800 |       NIST |
| Ne I |   20447.28 |  1.0 |   0.0 |      2620 | U Kentucky |
| Ar I |    20559.4 |  1.0 |   0.0 |       400 | U Kentucky |
| Ar I |   20621.86 |  1.0 |   0.0 |     49000 |       NIST |
| Ar I |   20652.77 |  1.0 |   0.0 |      1440 | U Kentucky |
| Ar I |   20739.22 |  1.0 |   0.0 |       900 | ISAAC List |
| Ar I |   20816.72 |  1.0 |   0.0 |       650 | U Kentucky |
| Xe I |  20848.409 |  1.0 |   0.0 |       280 |       NIST |
| Xe I |  20857.615 |  1.0 |   0.0 |       280 |       NIST |
| Kr I |   20881.37 |  1.0 |   0.0 |       700 |    "Outred |
| Kr I |   20930.15 |  1.0 |   0.0 |      1380 |       NIST |
| Kr I |   20982.06 |  1.0 |   0.0 |       350 |    "Outred |
| Ar I |   20991.84 |  1.0 |   0.0 |     30200 |       NIST |
| Kr I |    21027.1 |  1.0 |   0.0 |       450 |    "Outred |
| Ar I |   21041.57 |  1.0 |   0.0 |       350 | U Kentucky |
| Ne I |  21047.013 |  1.0 |   0.0 |      8480 |       NIST |
| Kr I |    21171.3 |  1.0 |   0.0 |     52200 |       NIST |
| Ar I |   21338.71 |  1.0 |   0.0 |      2740 |    "Outred |
| Xe I |  21378.892 |  1.0 |   0.0 |      1240 |       NIST |
| Ne I |  21420.939 |  1.0 |   0.0 |       280 |       NIST |
| Ne I |  21427.883 |  1.0 |   0.0 |       280 |       NIST |
| Kr I |   21444.21 |  1.0 |   0.0 |       470 |    "Outred |
| Xe I |  21475.961 |  1.0 |   0.0 |      8540 |       NIST |
| Ne I |  21509.615 |  1.0 |   0.0 |       400 |       NIST |
| Ar I |   21540.08 |  1.0 |   0.0 |     10050 |       NIST |
| Ne I |  21582.413 |  1.0 |   0.0 |       290 |       NIST |
| Ne I |   21585.76 |  1.0 |   0.0 |       330 |       NIST |
| Ne I |  21714.039 |  1.0 |   0.0 |     12900 |       NIST |
| Kr I | 21908.5101 |  1.0 |   0.0 |    190700 |       NIST |
| Ar I |   22045.58 |  1.0 |   0.0 |      1970 |       NIST |
| Ar I |   22083.21 |  1.0 |   0.0 |      8220 |       NIST |
| Ne I |  22177.292 |  1.0 |   0.0 |       300 |       NIST |
