# This spectrum, originally implemented in March 2004, was based on STIS
# observations and a 2003 Kurucz model. It was replaced 
# in September 2006 by a more recent spectrum described in Bohlin
# 2007, THE FUTURE OF PHOTOMETRIC, SPECTROPHOTOMETRIC AND POLARIMETRIC
# STANDARDIZATION, ASP Conference Series (in press).
#....................................................................
#
#      WAVELENGTH            FLUX
#       angstroms            flam
     1943.835   5.967200E-9
     1945.208   5.923500E-9
     1946.582   5.870800E-9
     1947.955   5.868700E-9
     1949.328   5.834700E-9
     1950.702   5.852300E-9
     1952.075   5.860000E-9
     1953.448   5.830500E-9
     1954.822   5.827300E-9
     1956.195   5.849300E-9
     1957.569   5.872800E-9
     1958.942   5.887100E-9
     1960.316   5.918500E-9
     1961.689   5.899200E-9
     1963.063   5.853400E-9
     1964.436   5.848000E-9
     1965.809   5.853800E-9
     1967.183   5.846700E-9
     1968.556   5.778300E-9
      1969.93   5.805900E-9
     1971.303   5.827200E-9
     1972.677   5.878600E-9
      1974.05   5.864400E-9
     1975.424   5.799800E-9
     1976.797   5.812500E-9
     1978.171   5.760500E-9
     1979.545   5.708300E-9
     1980.918   5.751300E-9
     1982.292   5.784900E-9
     1983.665   5.716600E-9
     1985.039   5.677900E-9
     1986.412   5.666200E-9
     1987.786   5.732200E-9
      1989.16   5.688500E-9
     1990.533   5.613300E-9
     1991.907   5.615100E-9
     1993.281   5.572300E-9
     1994.654   5.540300E-9
     1996.028   5.605400E-9
     1997.401   5.662500E-9
     1998.775   5.581200E-9
     2000.149   5.406000E-9
     2001.522   5.480100E-9
     2002.896   5.564200E-9
      2004.27   5.497400E-9
     2005.644   5.487500E-9
     2007.017   5.476000E-9
     2008.391   5.406800E-9
     2009.765   5.501900E-9
     2011.138   5.317500E-9
     2012.512   5.233000E-9
     2013.886   5.305300E-9
      2015.26   5.361400E-9
     2016.633   5.365200E-9
     2018.007   5.362100E-9
     2019.381   5.355100E-9
     2020.755   5.346800E-9
     2022.129   5.328200E-9
     2023.502   5.397700E-9
     2024.876   5.403500E-9
      2026.25   5.295500E-9
